,likes,retweets,tweet_id
187,30492,8495,855459453768019968
190,23314,6340,854732716440526848
191,29934,7128,854482394044301312
192,19302,4870,854365224396361728
193,32678,7789,854120357044912130
194,16575,3283,854010172552949760
195,29259,6039,853760880890318849
196,35706,10571,853639147608842240
197,15919,3729,853299958564483072
199,9298,1918,852912242202992640
200,15314,2257,852672615818899456
201,16817,3679,852553447878664193
202,34040,10345,852311364735569921
203,20569,7116,852226086759018497
204,11801,1664,852189679701164033
207,16686,3641,851591660324737024
208,25014,7426,851464819735769094
209,21320,6003,851224888060895234
210,32005,9761,850753642995093505
211,13476,2750,850380195714523136
213,16862,4032,850145622816686080
214,21138,5158,850019790995546112
215,31488,8005,849776966551130114
217,16418,3313,849412302885593088
218,11824,1992,849336543269576704
219,43959,8984,849051919805034497
220,26093,4561,848690551926992896
221,25637,4849,848324959059550208
223,16917,3249,848212111729840128
226,24380,5395,847962785489326080
227,5681,1421,847842811428974592
229,19475,3590,847606175596138505
230,21241,4554,847251039262605312
231,20715,6205,847157206088847362
232,22252,3389,847116187444137987
233,20867,4167,846874817362120707
234,46400,12304,846514051647705089
236,32985,9619,846153765933735936
238,16630,3074,846042936437604353
239,30496,9288,845812042753855489
240,26137,5081,845677943972139009
241,7947,1922,845397057150107648
242,24281,5732,845306882940190720
244,14192,2750,844979544864018432
245,15749,3420,844973813909606400
246,40368,11002,844704788403113984
247,17179,3344,844580511645339650
248,14213,2340,844223788422217728
250,22330,4929,843856843873095681
251,17628,2935,843604394117681152
252,22449,6444,843235543001513987
253,15894,3837,842846295480000512
254,7048,1358,842765311967449089
255,18910,3738,842535590457499648
256,25594,6194,842163532590374912
257,14642,3233,842115215311396866
259,26804,8284,841680585030541313
260,13203,3923,841439858740625411
262,16559,5019,841314665196081154
263,23937,5676,841077006473256960
267,12861,1045,840696689258311684
268,9394,1876,840632337062862849
269,17240,4870,840370681858686976
270,20196,6139,840268004936019968
271,14066,2459,839990271299457024
272,28857,8336,839549326359670784
274,28532,7009,839239871831150596
276,11721,2228,838921590096166913
279,11463,1420,838561493054533637
280,23704,5167,838476387338051585
284,18507,3385,838083903487373313
285,35900,8439,837820167694528512
286,4028,476,837482249356513284
287,13439,2462,837471256429613056
288,22200,5688,837366284874571778
289,16834,2570,837110210464448512
290,13379,2471,836989968035819520
291,20201,4965,836753516572119041
292,13254,2391,836677758902222849
295,15480,3185,836380477523124226
296,22356,4616,836260088725786625
297,20095,4618,836001077879255040
299,18710,3898,835574547218894849
302,17279,3229,835297930240217089
303,8145,1835,835264098648616962
305,27504,6181,835172783151792128
306,23633,3250,835152434251116546
307,11406,1779,834931633769889797
308,22283,5906,834786237630337024
309,14411,2732,834574053763584002
311,10135,1810,834458053273591808
312,21699,5158,834209720923721728
313,16598,3921,834167344700198914
315,13765,2395,834086379323871233
316,14128,2595,833863086058651648
317,18942,4032,833826103416520705
319,21822,3463,833722901757046785
320,15657,2228,833479644947025920
321,21284,5229,833124694597443584
322,14018,2394,832998151111966721
324,17748,3914,832757312314028032
327,16733,3023,832636094638288896
328,12592,2402,832397543355072512
329,18097,3447,832369877331693569
330,11929,2521,832273440279240704
335,18796,5013,832032802820481025
336,25321,6635,831939777352105988
338,29195,7052,831911600680497154
339,11028,1959,831670449226514432
340,7576,2102,831650051525054464
341,9501,2482,831552930092285952
342,9712,1650,831322785565769729
343,6891,1209,831315979191906304
344,12390,2638,831309418084069378
345,12578,2221,831262627380748289
346,8416,1617,830956169170665475
347,70692,18221,830583320585068544
349,10379,3254,830097400375152640
351,12917,2120,829861396166877184
352,33559,11505,829501995190984704
353,11064,2203,829449946868879360
354,36594,10102,829374341691346946
355,25905,8031,829141528400556032
356,56034,17590,829011960981237760
358,27048,6362,828770345708580865
359,38738,12175,828708714936930305
360,10055,1462,828650029636317184
361,6658,1248,828409743546925057
362,8096,1393,828408677031882754
363,13366,2415,828381636999917570
364,7813,1152,828376505180889089
365,13262,3193,828372645993398273
367,12447,3106,828046555563323392
368,10981,2332,828011680017821696
369,21323,5672,827933404142436356
370,16326,3261,827653905312006145
371,7845,1029,827600520311402496
372,16798,3329,827324948884643840
373,11205,2434,827199976799354881
374,22866,5432,826958653328592898
375,38651,11100,826848821049180160
378,10690,2553,826598365270007810
379,19533,4556,826476773533745153
380,14073,2809,826240494070030336
381,5178,1014,826204788643753985
382,16604,3409,826115272272650244
383,11096,2031,825876512159186944
384,13517,2705,825829644528148480
385,55234,18705,825535076884762624
386,19422,4982,825147591692263424
388,6742,1394,825026590719483904
390,15902,3833,824775126675836928
391,10698,1889,824663926340194305
392,12505,11302,824325613288833024
393,15983,4210,824297048279236611
395,11300,2953,823939628516474880
397,13372,2635,823699002998870016
398,13850,2880,823581115634085888
400,16725,4377,823322678127919110
402,18373,3750,822975315408461824
403,140688,47809,822872901745569793
404,14056,2493,822859134160621569
406,15697,3237,822610361945911296
